date;cours;titre_id
2016/03/18;265470;6
2016/03/17;265475;6
2016/03/14;286995;6
2016/03/11;286750;6
2016/03/10;310000;6
2016/03/09;289790;6
2016/03/08;269575;6
2016/03/07;250770;6
2016/03/04;233275;6
2016/03/03;217000;6
2016/03/02;201960;6
2016/03/01;198000;6
2016/02/29;195000;6
2016/02/26;185000;6
2016/02/25;188000;6
2016/02/24;186000;6
2016/02/23;185000;6
2016/02/22;182000;6
2016/02/18;175000;6
2016/02/17;170000;6
2016/02/16;168000;6
2016/02/15;165500;6
2016/02/12;165000;6
2016/02/11;159000;6
2016/02/10;150000;6
2016/02/09;158000;6
2016/02/08;147000;6
2016/02/05;137025;6
2016/02/04;138000;6
2016/02/03;137000;6
2016/02/02;137000;6
2016/02/01;137000;6
2016/01/29;136210;6
2016/01/28;138000;6
2016/01/27;136100;6
2016/01/26;136000;6
2016/01/25;134500;6
2016/01/21;133000;6
2016/01/20;133000;6
2016/01/18;130005;6
2016/01/12;130000;6
2016/01/11;130000;6
2016/01/08;130000;6
2016/01/07;130000;6
2015/12/30;130000;6
2015/12/29;130000;6
2015/12/28;126500;6
2015/12/22;126500;6
2015/12/21;126500;6
2015/12/18;126500;6
2015/12/16;126500;6
2015/12/15;126500;6
2015/12/14;130000;6
2015/12/11;132500;6
2015/12/10;130000;6
2015/12/09;129995;6
2015/12/08;131000;6
2015/12/07;131005;6
2015/12/04;131005;6
2015/12/03;131005;6
2015/12/02;131000;6
2015/12/01;130000;6
2015/11/30;132000;6
2015/11/26;134375;6
2015/11/25;134000;6
2015/11/24;125000;6
2015/11/23;125000;6
2015/11/20;125000;6
2015/11/19;121000;6
2015/11/18;120000;6
2015/11/17;120000;6
2015/11/16;125000;6
2015/11/13;125000;6
2015/11/12;126000;6
2015/11/11;125000;6
2015/11/10;126000;6
2015/11/09;125015;6
2015/11/06;125005;6
2015/11/05;125000;6
2015/11/04;126000;6
2015/11/03;126000;6
2015/11/02;126500;6
2015/10/30;126005;6
2015/10/28;126000;6
2015/10/27;126000;6
2015/10/26;126000;6
2015/10/23;125000;6
2015/10/21;125000;6
2015/10/20;125000;6
2015/10/19;125000;6
2015/10/16;125000;6
2015/10/15;125000;6
2015/10/14;125005;6
2015/10/13;124100;6
2015/10/12;124000;6
2015/10/07;125000;6
2015/10/06;127000;6
2015/10/05;124990;6
2015/10/02;124990;6
2015/10/01;125000;6
2015/09/30;127000;6
2015/09/29;127000;6
2015/09/28;126000;6
2015/09/25;127000;6
2015/09/23;127000;6
2015/09/22;126000;6
2015/09/21;125020;6
2015/09/18;124500;6
2015/09/17;125000;6
2015/09/16;125000;6
2015/09/15;123500;6
2015/09/14;123495;6
2015/09/11;123495;6
2015/09/10;123000;6
2015/09/09;122000;6
2015/09/08;123795;6
2015/09/07;124000;6
2015/09/02;128000;6
2015/09/01;128000;6
2015/08/31;127500;6
2015/08/28;127000;6
2015/08/27;126700;6
2015/08/26;126000;6
2015/08/24;126000;6
2015/08/21;126005;6
2015/08/19;128050;6
2015/08/18;128990;6
2015/08/17;128050;6
2015/08/14;128990;6
2015/08/13;125000;6
2015/08/11;127000;6
2015/08/10;120210;6
2015/08/06;120000;6
2015/08/04;119300;6
2015/08/03;119300;6
2015/07/31;119300;6
2015/07/30;114750;6
2015/07/29;113000;6
2015/07/28;112010;6
2015/07/27;112200;6
2015/07/23;112010;6
2015/07/22;112010;6
2015/07/20;119300;6
2015/07/16;112505;6
2015/07/15;115000;6
2015/07/13;112000;6
2015/07/10;111010;6
2015/07/09;112000;6
2015/07/07;111005;6
2015/07/06;115000;6
2015/07/02;115000;6
2015/07/01;115000;6
2015/06/29;115000;6
2015/06/25;115000;6
2015/06/23;115000;6
2015/06/22;111000;6
2015/06/19;111000;6
2015/06/18;111000;6
2015/06/17;105000;6
2015/06/15;102675;6
2015/06/12;111000;6
2015/06/11;111000;6
2015/06/10;111000;6
2015/06/09;118000;6
2015/06/08;115000;6
2015/06/05;111005;6
2015/06/04;110000;6
2015/06/03;111000;6
2015/06/02;111000;6
2015/06/01;111000;6
2015/05/28;113000;6
2015/05/27;113700;6
2015/05/22;111000;6
2015/05/21;111000;6
2015/05/20;109000;6
2015/05/19;109500;6
2015/05/18;109500;6
2015/05/15;110000;6
2015/05/12;114500;6
2015/05/11;120000;6
2015/04/30;125000;6
2015/04/29;126000;6
2015/04/28;125000;6
2015/04/27;119995;6
2015/04/24;113220;6
2015/04/23;106000;6
2015/04/21;101000;6
2015/04/17;101000;6
2015/04/16;101000;6
2015/04/14;101000;6
2015/04/13;101000;6
2015/04/10;101000;6
2015/04/08;101750;6
2015/04/03;110000;6
2015/04/01;110000;6
2015/03/31;110000;6
2015/03/25;118000;6
2015/03/24;111000;6
2015/03/19;120000;6
2015/03/18;120000;6
2015/03/17;120000;6
2015/03/16;116000;6
2015/03/13;115000;6
2015/03/12;110125;6
2015/03/11;102445;6
2015/03/10;95300;6
2015/03/05;92600;6
2015/03/04;92500;6
2015/03/03;92000;6
2015/03/02;92000;6
2015/02/27;92000;6
2015/02/26;92000;6
2015/02/25;92000;6
2015/02/24;92000;6
2015/02/23;92000;6
2015/02/20;92100;6
2015/02/17;92100;6
2015/02/05;92000;6
2015/02/03;92000;6
2015/01/30;91990;6
2015/01/29;91995;6
2015/01/28;92010;6
2015/01/27;92000;6
2015/01/26;91995;6
2015/01/23;91910;6
2015/01/22;91910;6
2015/01/21;85500;6
2015/01/20;84000;6
2015/01/19;84000;6
2015/01/16;82250;6
2015/01/15;82205;6
2015/01/08;82000;6
2015/01/07;82000;6
2015/01/06;82015;6
2015/01/05;82005;6
2014/12/31;82005;6
2014/12/29;82005;6
2014/12/24;81000;6
2014/12/23;81000;6
2014/12/22;81000;6
2014/12/18;80300;6
2014/12/17;80005;6
2014/12/16;80000;6
2014/12/12;80000;6
2014/12/11;78000;6
2014/12/10;78000;6
2014/12/09;78000;6
2014/12/08;80000;6
2014/12/03;80000;6
2014/12/01;80000;6
2014/11/27;80000;6
2014/11/26;78000;6
2014/11/20;84000;6
2014/11/18;89000;6
2014/11/14;83850;6
2014/11/13;78000;6
2014/11/07;78000;6
2014/11/05;75000;6
2014/10/29;78000;6
2014/10/27;78000;6
2014/10/23;78000;6
2014/10/16;78000;6
2014/10/15;78000;6
2014/10/14;78000;6
2014/10/13;78000;6
2014/10/09;78000;6
2014/10/08;78000;6
2014/10/02;83300;6
2014/10/01;80620;6
2014/09/30;75000;6
2014/09/26;75000;6
2014/09/25;71500;6
