date;cours;titre_id
2016/03/15;37500;13
2016/03/10;37500;13
2016/03/09;37000;13
2016/03/08;35000;13
2016/03/07;35000;13
2016/03/04;35000;13
2016/03/01;35000;13
2016/02/29;36000;13
2016/02/26;36500;13
2016/02/24;35000;13
2016/02/23;34225;13
2016/02/19;37000;13
2016/02/18;37500;13
2016/02/17;37500;13
2016/02/16;40000;13
2016/02/15;40000;13
2016/02/12;43000;13
2016/02/11;43000;13
2016/02/08;43995;13
2016/01/26;44000;13
2016/01/21;44000;13
2016/01/12;44000;13
2016/01/11;44000;13
2016/01/05;44000;13
2016/01/04;44990;13
2015/12/29;44995;13
2015/12/23;45795;13
2015/12/21;45900;13
2015/12/16;46000;13
2015/12/15;46200;13
2015/12/10;46495;13
2015/12/09;46500;13
2015/12/08;46980;13
2015/12/07;46990;13
2015/12/03;46990;13
2015/12/02;47995;13
2015/12/01;45000;13
2015/11/30;45000;13
2015/11/26;42000;13
2015/11/25;39180;13
2015/11/24;36450;13
2015/11/23;35000;13
2015/11/20;35000;13
2015/11/19;34000;13
2015/11/17;32505;13
2015/11/16;33000;13
2015/11/13;32500;13
2015/11/12;32000;13
2015/11/11;32000;13
2015/11/10;30000;13
2015/11/09;32000;13
2015/11/06;32000;13
2015/11/05;32000;13
2015/11/04;30000;13
2015/11/02;29000;13
2015/10/27;29000;13
2015/10/26;29000;13
2015/10/22;29000;13
2015/10/21;27800;13
2015/10/19;27800;13
2015/10/13;26000;13
2015/10/07;26750;13
2015/10/02;26000;13
2015/10/01;26000;13
2015/09/29;26000;13
2015/09/28;26000;13
2015/09/23;26700;13
2015/09/22;26750;13
2015/09/16;26000;13
2015/09/14;26750;13
2015/09/09;26750;13
2015/09/01;25010;13
2015/08/31;25000;13
2015/08/27;27000;13
2015/08/25;27800;13
2015/08/24;27500;13
2015/08/21;27200;13
2015/08/20;27800;13
2015/08/19;26000;13
2015/08/17;25000;13
2015/08/14;24995;13
2015/08/12;25000;13
2015/08/10;27000;13
2015/08/05;27005;13
2015/08/04;27005;13
2015/07/27;27005;13
2015/07/24;27005;13
2015/07/22;27005;13
2015/07/21;27005;13
2015/07/15;27000;13
2015/07/13;29095;13
2015/07/09;29095;13
2015/07/07;31450;13
2015/07/06;31600;13
2015/07/03;31500;13
2015/07/02;31500;13
2015/07/01;31990;13
2015/06/30;31990;13
2015/06/25;32000;13
2015/06/24;32000;13
2015/06/23;30000;13
2015/06/22;30000;13
2015/06/19;30000;13
2015/06/18;28750;13
2015/06/17;28750;13
2015/06/16;26750;13
2015/06/15;25000;13
2015/06/12;23450;13
2015/05/27;21815;13
2015/05/07;21390;13
2015/05/06;21390;13
2015/04/17;19900;13
2015/03/30;21500;13
2015/03/25;22850;13
2015/03/23;23000;13
2015/03/09;22850;13
2015/03/05;22850;13
2015/03/03;24500;13
2015/02/24;24500;13
2015/02/17;24700;13
2015/01/29;24725;13
2015/01/23;23000;13
2015/01/19;21500;13
2015/01/13;23010;13
2014/12/29;23010;13
2014/12/26;23010;13
2014/12/15;23010;13
2014/12/08;23010;13
2014/12/05;23000;13
2014/12/01;23000;13
2014/11/26;23000;13
2014/11/21;23010;13
2014/11/19;23400;13
2014/11/06;23520;13
