date;cours;titre_id
2016/03/18;105010;4
2016/03/17;106000;4
2016/03/16;105010;4
2016/03/15;105000;4
2016/03/14;105005;4
2016/03/11;105000;4
2016/03/10;105000;4
2016/03/09;100010;4
2016/03/08;100000;4
2016/03/07;99000;4
2016/03/04;100000;4
2016/03/03;98115;4
2016/03/02;98700;4
2016/02/24;98010;4
2016/02/23;98000;4
2016/02/22;98000;4
2016/02/19;98000;4
2016/02/18;97200;4
2016/02/17;97950;4
2016/02/16;97000;4
2016/02/15;96500;4
2016/02/12;95500;4
2016/02/11;95500;4
2016/02/10;96000;4
2016/02/09;95100;4
2016/02/03;96000;4
2016/02/02;96300;4
2016/02/01;97800;4
2016/01/28;99500;4
2016/01/27;99500;4
2016/01/26;95000;4
2016/01/25;95200;4
2016/01/22;95000;4
2016/01/20;99500;4
2016/01/19;96000;4
2016/01/14;96000;4
2016/01/13;96000;4
2016/01/12;98000;4
2016/01/11;96000;4
2016/01/07;98000;4
2016/01/06;100000;4
2016/01/04;100000;4
2015/12/31;101000;4
2015/12/30;100000;4
2015/12/29;100000;4
2015/12/28;100000;4
2015/12/23;100000;4
2015/12/22;96000;4
2015/12/21;95000;4
2015/12/18;95000;4
2015/12/16;95500;4
2015/12/15;99995;4
2015/12/11;104800;4
2015/12/10;105000;4
2015/12/07;107495;4
2015/12/04;104800;4
2015/12/02;98000;4
2015/11/26;98100;4
2015/11/25;98100;4
2015/11/20;98100;4
2015/11/19;98100;4
2015/11/18;98000;4
2015/11/13;98000;4
2015/11/10;98000;4
2015/11/09;97000;4
2015/11/06;98000;4
2015/11/05;98000;4
2015/11/04;100000;4
2015/11/03;100000;4
2015/11/02;100000;4
2015/10/29;101000;4
2015/10/28;103000;4
2015/10/27;100000;4
2015/10/23;100000;4
2015/10/22;99970;4
2015/10/21;102000;4
2015/10/20;102000;4
2015/10/19;102000;4
2015/10/15;104000;4
2015/10/14;101000;4
2015/10/13;103000;4
2015/10/12;103000;4
2015/10/07;101000;4
2015/10/06;100005;4
2015/10/05;100005;4
2015/10/02;100000;4
2015/09/29;100000;4
2015/09/28;95100;4
2015/09/25;95005;4
2015/09/22;95000;4
2015/09/21;93500;4
2015/09/18;93505;4
2015/09/17;93510;4
2015/09/16;93505;4
2015/09/15;93500;4
2015/09/14;93100;4
2015/09/11;93000;4
2015/09/10;92300;4
2015/09/09;92500;4
2015/09/08;92005;4
2015/09/07;92000;4
2015/09/04;91000;4
2015/09/01;91055;4
2015/08/28;91050;4
2015/08/27;91050;4
2015/08/26;91000;4
2015/08/25;91000;4
2015/08/24;91000;4
2015/08/21;90000;4
2015/08/20;89015;4
2015/08/18;92005;4
2015/08/17;92000;4
2015/08/13;92000;4
2015/08/12;91000;4
2015/08/11;91000;4
2015/08/10;90005;4
2015/08/06;90005;4
2015/08/05;91000;4
2015/08/04;91000;4
2015/08/03;91000;4
2015/07/31;87695;4
2015/07/30;87695;4
2015/07/29;87695;4
2015/07/27;87695;4
2015/07/24;91000;4
2015/07/23;91000;4
2015/07/20;90000;4
2015/07/09;90010;4
2015/07/07;87600;4
2015/07/03;87000;4
2015/07/02;87505;4
2015/06/30;87005;4
2015/06/29;87000;4
2015/06/26;87000;4
2015/06/25;87000;4
2015/06/24;87000;4
2015/06/23;85615;4
2015/06/22;85615;4
2015/06/19;85615;4
2015/06/18;89500;4
2015/06/17;90000;4
2015/06/15;87500;4
2015/06/12;87500;4
2015/06/10;87500;4
2015/06/08;88000;4
2015/06/04;88000;4
2015/06/02;89995;4
2015/06/01;89995;4
2015/05/29;87510;4
2015/05/21;93490;4
2015/05/20;93495;4
2015/05/18;93500;4
2015/05/15;87000;4
2015/05/13;88010;4
2015/05/08;87500;4
2015/05/07;87000;4
2015/05/05;90000;4
2015/05/04;87905;4
2015/04/30;95000;4
2015/04/29;94000;4
2015/04/27;90000;4
2015/04/24;88995;4
2015/04/22;87500;4
2015/04/21;87490;4
2015/04/20;85565;4
2015/04/17;87500;4
2015/04/16;84505;4
2015/04/14;86990;4
2015/04/13;84500;4
2015/04/10;84000;4
2015/04/09;84005;4
2015/04/08;84005;4
2015/04/07;83030;4
2015/04/03;82005;4
2015/03/31;82000;4
2015/03/30;82000;4
2015/03/24;82000;4
2015/03/23;82000;4
2015/03/20;82000;4
2015/03/16;82000;4
2015/03/13;82000;4
2015/03/11;82500;4
2015/03/06;84000;4
2015/03/05;84000;4
2015/03/04;89000;4
2015/03/03;84000;4
2015/03/02;84000;4
2015/02/27;89995;4
2015/02/25;89995;4
2015/02/24;83850;4
2015/02/20;90000;4
2015/02/16;91500;4
2015/02/13;90135;4
2015/02/12;90135;4
2015/02/11;83850;4
2015/02/10;83500;4
2015/02/06;83500;4
2015/02/05;82000;4
2015/02/04;82000;4
2015/02/03;79100;4
2015/02/02;79005;4
2015/01/29;79005;4
2015/01/28;79005;4
2015/01/27;79005;4
2015/01/26;80000;4
2015/01/23;80000;4
2015/01/22;78000;4
2015/01/21;78000;4
2015/01/20;79000;4
2015/01/19;78000;4
2015/01/15;78005;4
2015/01/14;79000;4
2015/01/13;78000;4
2015/01/09;82000;4
2015/01/08;80000;4
2015/01/06;83500;4
2015/01/02;83850;4
2014/12/31;78000;4
2014/12/30;77400;4
2014/12/26;77495;4
2014/12/24;77795;4
2014/12/23;76995;4
2014/12/22;77000;4
2014/12/19;77745;4
2014/12/18;77790;4
2014/12/17;77795;4
2014/12/15;77895;4
2014/12/12;77800;4
2014/12/08;77995;4
2014/12/05;77995;4
2014/12/03;78000;4
2014/12/02;75000;4
2014/12/01;70005;4
2014/11/27;72150;4
2014/11/19;78000;4
2014/11/18;78475;4
2014/11/14;73000;4
2014/11/13;73000;4
2014/11/10;72000;4
2014/11/05;74000;4
2014/11/04;70005;4
2014/11/03;71000;4
2014/10/31;71000;4
2014/10/27;74500;4
2014/10/24;70000;4
2014/10/23;70000;4
2014/10/22;70000;4
2014/10/21;70000;4
2014/10/17;68020;4
2014/10/16;69000;4
2014/10/15;70000;4
2014/10/14;71900;4
2014/10/13;71400;4
2014/10/10;70000;4
2014/10/09;68015;4
2014/10/08;72400;4
2014/10/07;72400;4
2014/10/06;72400;4
2014/10/03;72400;4
2014/10/02;71000;4
2014/09/30;71400;4
2014/09/29;70000;4
2014/09/26;69985;4
2014/09/18;70000;4
2014/09/16;68990;4
2014/09/15;68010;4
2014/09/12;69000;4
2014/09/11;69000;4
2014/09/10;68005;4
2014/09/09;68005;4
2014/09/05;68000;4
2014/09/04;68000;4
2014/09/03;68000;4
2014/09/02;68000;4
2014/08/29;67710;4
2014/08/28;67700;4
2014/08/27;67500;4
2014/08/26;67100;4
2014/08/22;67000;4
2014/08/20;66000;4
2014/08/13;61505;4
2014/08/11;61000;4
2014/08/06;60010;4
2014/08/05;64000;4
2014/08/04;64000;4
2014/07/29;69000;4
2014/07/25;72500;4
2014/07/23;73000;4
2014/07/22;72990;4
2014/07/17;73000;4
2014/07/14;68000;4
2014/07/11;68000;4
2014/07/10;67000;4
2014/07/09;69000;4
2014/07/08;67000;4
2014/07/04;68000;4
2014/07/03;68000;4
2014/07/01;69000;4
2014/06/30;69000;4
2014/06/27;69000;4
2014/06/24;69000;4
2014/06/20;69000;4
2014/06/18;70000;4
2014/06/16;69000;4
2014/06/13;67025;4
2014/06/12;69000;4
2014/06/06;70000;4
2014/06/05;70000;4
2014/06/03;70000;4
2014/06/02;67000;4
2014/05/30;66000;4
2014/05/26;67000;4
2014/05/23;67000;4
2014/05/21;66000;4
2014/05/19;67000;4
2014/05/15;67725;4
2014/05/14;63000;4
2014/05/13;63400;4
2014/05/12;63000;4
2014/05/08;63005;4
2014/05/06;66000;4
2014/05/05;66000;4
2014/04/30;66000;4
2014/04/29;69000;4
2014/04/28;66005;4
2014/04/22;66005;4
2014/04/18;69000;4
2014/04/15;66000;4
2014/04/14;69000;4
2014/04/10;66000;4
2014/04/09;66000;4
2014/04/04;69000;4
2014/04/02;69000;4
2014/04/01;69000;4
2014/03/28;66500;4
2014/03/27;66500;4
2014/03/26;66500;4
2014/03/20;69000;4
2014/03/19;67005;4
2014/03/18;67005;4
2014/03/14;67000;4
2014/03/13;68110;4
2014/03/12;67000;4
