date;cours;titre_id
2016/03/21;96500;27
2016/03/18;97000;27
2016/03/17;95000;27
2016/03/16;98000;27
2016/03/15;97000;27
2016/03/14;97000;27
2016/03/11;97005;27
2016/03/10;97000;27
2016/03/09;96750;27
2016/03/08;96005;27
2016/03/07;96005;27
2016/03/04;96750;27
2016/03/03;95000;27
2016/03/01;95010;27
2016/02/29;95000;27
2016/02/26;90505;27
2016/02/25;96750;27
2016/02/23;90000;27
2016/02/22;90000;27
2016/02/19;95400;27
2016/02/18;95000;27
2016/02/17;95500;27
2016/02/16;95000;27
2016/02/15;95500;27
2016/02/12;91500;27
2016/02/11;91500;27
2016/02/10;91500;27
2016/02/09;91495;27
2016/02/08;91495;27
2016/02/04;95500;27
2016/02/03;97000;27
2016/02/02;95000;27
2016/02/01;97000;27
2016/01/29;98900;27
2016/01/28;92000;27
2016/01/27;91000;27
2016/01/26;90000;27
2016/01/25;89000;27
2016/01/22;89000;27
2016/01/21;90500;27
2016/01/19;93000;27
2016/01/18;93000;27
2016/01/15;89000;27
2016/01/14;90800;27
2016/01/13;95500;27
2016/01/11;94000;27
2016/01/08;97995;27
2016/01/07;98500;27
2016/01/06;98000;27
2016/01/05;98500;27
2016/01/04;103995;27
2015/12/30;103995;27
2015/12/28;105000;27
2015/12/23;99900;27
2015/12/22;93000;27
2015/12/18;94100;27
2015/12/17;94100;27
2015/12/16;94100;27
2015/12/15;88000;27
2015/12/14;89000;27
2015/12/11;96000;27
2015/12/09;97000;27
2015/12/08;97995;27
2015/12/07;93105;27
2015/12/03;98000;27
2015/12/02;98500;27
2015/12/01;95000;27
2015/11/30;95000;27
2015/11/27;98995;27
2015/11/26;95000;27
2015/11/25;93000;27
2015/11/24;91000;27
2015/11/23;91000;27
2015/11/20;86500;27
2015/11/19;85650;27
2015/11/18;84000;27
2015/11/17;82500;27
2015/11/16;82300;27
2015/11/13;82000;27
2015/11/12;85500;27
2015/11/11;84900;27
2015/11/10;82500;27
2015/11/09;82500;27
2015/11/06;82500;27
2015/11/04;82500;27
2015/11/02;82500;27
2015/10/30;82115;27
2015/10/29;82510;27
2015/10/23;82500;27
2015/10/22;82005;27
2015/10/21;82000;27
2015/10/20;82000;27
2015/10/19;82000;27
2015/10/16;82005;27
2015/10/15;82000;27
2015/10/14;81510;27
2015/10/13;83000;27
2015/10/12;82000;27
2015/10/07;82000;27
2015/10/06;82000;27
2015/10/05;81510;27
2015/10/02;82000;27
2015/10/01;81510;27
2015/09/30;81500;27
2015/09/29;80500;27
2015/09/28;81400;27
2015/09/25;80000;27
2015/09/23;81000;27
2015/09/22;80500;27
2015/09/21;80000;27
2015/09/18;81995;27
2015/09/17;80000;27
2015/09/15;81000;27
2015/09/14;82000;27
2015/09/11;82000;27
2015/09/10;80000;27
2015/09/09;80000;27
2015/09/08;81000;27
2015/09/07;80000;27
2015/09/04;80000;27
2015/09/02;82000;27
2015/09/01;81000;27
2015/08/31;81500;27
2015/08/27;81500;27
2015/08/26;81000;27
2015/08/25;80000;27
2015/08/24;80000;27
2015/08/21;79000;27
2015/08/20;79000;27
2015/08/19;79000;27
2015/08/18;78000;27
2015/08/17;78000;27
2015/08/14;80000;27
